gene,p12,PP.H4
PTK2,1e-05,0.7957
FGF2,1e-05,0.4069
LYG1,1e-05,0.2702
EMILIN1,1e-05,0.2888
BTN3A1,1e-05,0.485
IL4R,1e-05,0.4033
KHK,1e-05,0.1504
COLQ,1e-05,0.2377
PTAFR,1e-05,0.233
CSNK1E,1e-05,0.4991
LMNA,1e-05,0.3861
TYK2,1e-05,0.2385
SIK2,1e-05,0.6322
GSTK1,1e-05,0.1825
DLK1,1e-05,0.6606
SCP2,1e-05,0.0779
LGALS3,1e-05,0.193
CTSS,1e-05,0.0539
STK36,1e-05,0.0407
ROCK1,1e-05,0.7891
PTK2,5e-06,0.6607
FGF2,5e-06,0.2554
LYG1,5e-06,0.1562
EMILIN1,5e-06,0.1688
BTN3A1,5e-06,0.3202
IL4R,5e-06,0.2526
KHK,5e-06,0.0813
COLQ,5e-06,0.1349
PTAFR,5e-06,0.1318
CSNK1E,5e-06,0.3325
LMNA,5e-06,0.2393
TYK2,5e-06,0.1354
SIK2,5e-06,0.4622
GSTK1,5e-06,0.1004
DLK1,5e-06,0.4932
SCP2,5e-06,0.0405
LGALS3,5e-06,0.1068
CTSS,5e-06,0.0277
STK36,5e-06,0.0208
ROCK1,5e-06,0.6517
PTK2,1e-06,0.2803
FGF2,1e-06,0.0642
LYG1,1e-06,0.0357
EMILIN1,1e-06,0.039
BTN3A1,1e-06,0.0861
IL4R,1e-06,0.0633
KHK,1e-06,0.0174
COLQ,1e-06,0.0302
PTAFR,1e-06,0.0295
CSNK1E,1e-06,0.0906
LMNA,1e-06,0.0592
TYK2,1e-06,0.0304
SIK2,1e-06,0.1467
GSTK1,1e-06,0.0218
DLK1,1e-06,0.1629
SCP2,1e-06,0.0084
LGALS3,1e-06,0.0234
CTSS,1e-06,0.0057
STK36,1e-06,0.0042
ROCK1,1e-06,0.2723
